OBJECTID,RowNumber,Incident_Type,Date_Occurred,Date_Received,File_Number,Investigation_Status,Disposition,Citizen_Arrested,UseOfForce_Reason,Citizen_Injured,Officer_Injured,Cit_Infl_Assmt,Report_Type,Sex,Race,Citizen_Age,Year,Force_Used
44,44,Use of force,2018/02/02 05:00:00+00,2018/02/02 05:00:00+00,IA2018-0200,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,Black,36-45,2018,Physical Force
45,45,Use of force,2018/02/02 05:00:00+00,2018/02/02 05:00:00+00,IA2018-0200,Completed,Exonerated,Yes,Combative,Yes,Yes,Alcohol and unknown drugs,Complainant,Male,Black,36-45,2018,Taser
46,46,Use of force,2018/02/03 05:00:00+00,2018/02/03 05:00:00+00,IA2018-0246,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
47,47,Use of force,2018/02/04 05:00:00+00,2018/02/04 05:00:00+00,IA2018-0206,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Taser
48,48,Use of force,2018/02/04 05:00:00+00,2018/02/04 05:00:00+00,IA2018-0206,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Taser
49,49,Use of force,2018/02/24 05:00:00+00,2018/02/24 05:00:00+00,IA2018-0324,Completed,Exonerated,Yes,Non-Compliance,No,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
50,50,Use of force,2018/02/13 05:00:00+00,2018/02/13 05:00:00+00,IA2018-0177,Completed,Exonerated,No,Non-Compliance,Yes,No,None detected,Complainant,Male,White,0-17,2018,Physical Force
51,51,Use of force,2018/02/13 05:00:00+00,2018/02/13 05:00:00+00,IA2018-0177,Completed,Exonerated,No,Non-Compliance,Yes,No,None detected,Complainant,Male,White,0-17,2018,Physical Force
52,52,Firearm discharge,2018/01/20 05:00:00+00,2018/01/20 05:00:00+00,IA2018-0163,Completed,Exonerated,No,,,,None detected,Complainant,Male,Black,18-25,2018,Firearm
53,53,Use of force,2018/02/28 05:00:00+00,2018/02/28 05:00:00+00,IA2018-0265,Completed,Exonerated,Yes,Combative,Yes,No,Drugs,Complainant,Male,White,36-45,2018,Physical Force
54,54,Use of force,2018/02/28 05:00:00+00,2018/02/28 05:00:00+00,IA2018-0265,Completed,Exonerated,Yes,Combative,Yes,No,Drugs,Complainant,Male,White,36-45,2018,Physical Force
55,55,Use of force,2018/02/28 05:00:00+00,2018/02/28 05:00:00+00,IA2018-0265,Completed,Exonerated,Yes,Combative,Yes,No,Drugs,Complainant,Male,White,36-45,2018,Physical Force
56,56,Use of force,2018/02/28 05:00:00+00,2018/02/28 05:00:00+00,IA2018-0265,Completed,Exonerated,Yes,Combative,Yes,No,Drugs,Complainant,Male,White,36-45,2018,Physical Force
57,57,Use of force,2018/03/06 05:00:00+00,2018/03/06 05:00:00+00,IA2018-0222,Completed,Exonerated,No,Non-Compliance,Yes,No,Drugs,Complainant,Female,Black,>55,2018,Physical Force
58,58,Use of force,2018/03/06 05:00:00+00,2018/03/06 05:00:00+00,IA2018-0222,Completed,Exonerated,No,Non-Compliance,Yes,No,Drugs,Complainant,Female,Black,>55,2018,Other
59,59,Use of force,2018/02/27 05:00:00+00,2018/02/27 05:00:00+00,IA2018-0202,Completed,Exonerated,No,Other (Explain in Narrative),Yes,No,Unknown,Complainant,Male,Black,18-25,2018,Physical Force
60,60,Use of force,2018/02/25 05:00:00+00,2018/02/25 05:00:00+00,IA2018-0384,Completed,Exonerated,Yes,Combative,Yes,Yes,Mentally unstable,Complainant,Male,Black,36-45,2018,Physical Force
61,61,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0266,Completed,Exonerated,Yes,Fleeing,No,No,Mentally unstable,Complainant,Male,White,46-55,2018,Taser
62,62,Use of force,2018/03/06 05:00:00+00,2018/03/12 03:59:59+00,IA2018-0207,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,36-45,2018,Physical Force
63,63,Use of force,2018/03/06 05:00:00+00,2018/03/12 03:59:59+00,IA2018-0207,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,36-45,2018,Physical Force
64,64,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0212,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,White,36-45,2018,Physical Force
65,65,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0212,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,White,36-45,2018,Physical Force
66,66,Use of force,2018/03/06 05:00:00+00,2018/03/19 03:59:59+00,IA2018-0228,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,18-25,2018,Physical Force
67,67,Use of force,2018/03/06 05:00:00+00,2018/03/19 03:59:59+00,IA2018-0228,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Male,Black,18-25,2018,Taser
68,68,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
69,69,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
70,70,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
71,71,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
72,72,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
73,73,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
74,74,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
75,75,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Physical Force
76,76,Use of force,2018/03/19 03:59:59+00,2018/03/19 03:59:59+00,IA2018-0242,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Drugs,Complainant,Male,Black,26-35,2018,Other
77,77,Use of force,2018/03/22 03:59:59+00,2018/03/22 03:59:59+00,IA2018-0213,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Female,White,26-35,2018,Physical Force
78,78,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0223,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,46-55,2018,Physical Force
79,79,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0223,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,46-55,2018,Taser
80,80,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0223,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,46-55,2018,Physical Force
81,81,Use of force,2018/03/09 05:00:00+00,2018/03/09 05:00:00+00,IA2018-0223,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,46-55,2018,Physical Force
82,82,Use of force,2018/03/17 03:59:59+00,2018/03/17 03:59:59+00,IA2018-0254,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,White,26-35,2018,Taser
83,83,Use of force,2018/03/18 03:59:59+00,2018/03/18 03:59:59+00,IA2018-0335,Completed,Exonerated,Yes,Combative,No,No,Unknown Drugs,Complainant,Male,White,36-45,2018,Physical Force
84,84,Use of force,2018/03/17 03:59:59+00,2018/03/17 03:59:59+00,IA2018-0224,Completed,Exonerated,No,Non-Compliance,No,No,Alcohol,Complainant,No Sex Listed,No Race Listed,Other,2018,Other Less Lethal Munit
85,85,Use of force,2018/04/02 03:59:59+00,2018/04/02 03:59:59+00,IA2018-0267,Completed,Exonerated,Yes,Fleeing,No,No,None detected,Complainant,Male,White,18-25,2018,Physical Force
86,86,Use of force,2018/03/28 03:59:59+00,2018/03/28 03:59:59+00,IA2018-0243,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,26-35,2018,Physical Force
87,87,Use of force,2018/03/25 03:59:59+00,2018/03/25 03:59:59+00,IA2018-0278,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Female,White,26-35,2018,Physical Force
88,88,Use of force,2018/03/25 03:59:59+00,2018/03/25 03:59:59+00,IA2018-0278,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Female,White,26-35,2018,Physical Force
89,89,Use of force,2018/03/26 03:59:59+00,2018/03/26 03:59:59+00,IA2018-0279,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,26-35,2018,Physical Force
90,90,Use of force,2018/03/26 03:59:59+00,2018/03/26 03:59:59+00,IA2018-0279,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,26-35,2018,Physical Force
91,91,Use of force,2018/03/26 03:59:59+00,2018/03/26 03:59:59+00,IA2018-0279,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,26-35,2018,Physical Force
92,92,Use of force,2018/03/26 03:59:59+00,2018/03/26 03:59:59+00,IA2018-0279,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,26-35,2018,Physical Force
93,93,Use of force,2018/03/26 03:59:59+00,2018/03/26 03:59:59+00,IA2018-0279,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,26-35,2018,Physical Force
94,94,Use of force,2018/04/18 03:59:59+00,2018/04/18 03:59:59+00,IA2018-0294,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol,Complainant,Male,Black,26-35,2018,Physical Force
95,95,Use of force,2018/04/04 03:59:59+00,2018/04/04 03:59:59+00,IA2018-0303,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
96,96,Use of force,2018/04/04 03:59:59+00,2018/04/04 03:59:59+00,IA2018-0303,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
97,97,Use of force,2018/04/04 03:59:59+00,2018/04/04 03:59:59+00,IA2018-0303,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
98,98,Use of force,2018/04/04 03:59:59+00,2018/04/04 03:59:59+00,IA2018-0303,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Taser
99,99,Use of force,2018/04/14 03:59:59+00,2018/04/14 03:59:59+00,IA2018-0358,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
100,100,Use of force,2018/04/08 03:59:59+00,2018/04/08 03:59:59+00,IA2018-0315,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
101,101,Use of force,2018/03/30 03:59:59+00,2018/03/30 03:59:59+00,IA2018-0378,Completed,Exonerated,No,Self Harming Behavior,No,No,Mentally unstable,Complainant,Male,White,0-17,2018,Physical Force
102,102,Use of force,2018/03/30 03:59:59+00,2018/03/30 03:59:59+00,IA2018-0378,Completed,Exonerated,No,Self Harming Behavior,No,No,Mentally unstable,Complainant,Male,White,0-17,2018,Physical Force
103,103,Use of force,2018/03/30 03:59:59+00,2018/03/30 03:59:59+00,IA2018-0378,Completed,Exonerated,No,Self Harming Behavior,No,No,Mentally unstable,Complainant,Male,White,0-17,2018,Taser
104,104,Use of force,2018/04/19 03:59:59+00,2018/04/19 03:59:59+00,IA2018-0312,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,26-35,2018,Taser
105,105,Use of force,2018/04/19 03:59:59+00,2018/04/19 03:59:59+00,IA2018-0312,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,26-35,2018,Pepper Spray
106,106,Use of force,2018/04/25 03:59:59+00,2018/04/30 03:59:59+00,IA2018-0295,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,White,26-35,2018,Physical Force
107,107,Use of force,2018/04/25 03:59:59+00,2018/04/25 03:59:59+00,IA2018-0318,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,0-17,2018,Taser
108,108,Use of force,2018/04/22 03:59:59+00,2018/04/22 03:59:59+00,IA2018-0381,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
109,109,Use of force,2018/04/22 03:59:59+00,2018/04/22 03:59:59+00,IA2018-0381,Completed,Exonerated,Yes,Combative,Yes,No,Alcohol,Complainant,Male,Black,36-45,2018,Physical Force
110,110,Use of force,2018/04/25 03:59:59+00,2018/04/25 03:59:59+00,IA2018-0319,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Mentally unstable,Complainant,Male,White,36-45,2018,Taser
111,111,Use of force,2018/04/25 03:59:59+00,2018/04/25 03:59:59+00,IA2018-0319,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Mentally unstable,Complainant,Male,White,36-45,2018,Taser
112,112,Use of force,2018/05/04 03:59:59+00,2018/05/04 03:59:59+00,IA2018-0313,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
113,113,Use of force,2018/05/02 03:59:59+00,2018/05/02 03:59:59+00,IA2018-0328,Completed,Exonerated,No,Fleeing,Yes,No,None detected,Complainant,Female,White,26-35,2018,Taser
114,114,Use of force,2018/04/09 03:59:59+00,2018/04/09 03:59:59+00,IA2018-0435,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Male,Black,18-25,2018,Physical Force
115,115,Use of force,2018/05/04 03:59:59+00,2018/05/04 03:59:59+00,IA2018-0397,Completed,Exonerated,Yes,Combative,No,No,Mentally unstable,Complainant,Male,Black,26-35,2018,Taser
116,116,Use of force,2018/05/04 03:59:59+00,2018/05/04 03:59:59+00,IA2018-0397,Completed,Exonerated,Yes,Combative,No,No,Mentally unstable,Complainant,Male,Black,26-35,2018,Taser
117,117,Use of force,2018/03/23 03:59:59+00,2018/03/23 03:59:59+00,IA2018-0431,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Female,White,26-35,2018,Physical Force
118,118,Use of force,2018/03/23 03:59:59+00,2018/03/23 03:59:59+00,IA2018-0431,Completed,Exonerated,Yes,Non-Compliance,Yes,No,None detected,Complainant,Female,White,26-35,2018,Physical Force
119,119,Use of force,2018/05/13 03:59:59+00,2018/05/13 03:59:59+00,IA2018-0432,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,White,46-55,2018,Physical Force
120,120,Use of force,2018/05/13 03:59:59+00,2018/05/13 03:59:59+00,IA2018-0432,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,White,46-55,2018,Physical Force
121,121,Use of force,2018/05/13 03:59:59+00,2018/05/13 03:59:59+00,IA2018-0432,Completed,Exonerated,Yes,Combative,No,No,Alcohol,Complainant,Male,White,46-55,2018,Physical Force
122,122,Use of force,2018/05/21 03:59:59+00,2018/05/21 03:59:59+00,IA2018-0370,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,18-25,2018,Other
123,123,Use of force,2018/05/21 03:59:59+00,2018/05/21 03:59:59+00,IA2018-0370,Completed,Exonerated,Yes,Non-Compliance,Yes,No,Alcohol and unknown drugs,Complainant,Male,White,18-25,2018,Other
124,124,Use of force,2018/05/06 03:59:59+00,2018/05/06 03:59:59+00,IA2018-0425,Completed,Exonerated,Yes,Weapon,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
125,125,Use of force,2018/05/06 03:59:59+00,2018/05/06 03:59:59+00,IA2018-0425,Completed,Exonerated,Yes,Weapon,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Physical Force
126,126,Use of force,2018/05/24 03:59:59+00,2018/05/24 03:59:59+00,IA2018-0408,Completed,Exonerated,Yes,Combative,Yes,No,Unknown,Complainant,Female,White,36-45,2018,Physical Force
127,127,Use of force,2018/05/21 03:59:59+00,2018/05/21 03:59:59+00,IA2018-0374,Completed,Exonerated,Yes,Fleeing,Yes,No,Mentally unstable,Complainant,Male,White,>55,2018,Physical Force
128,128,Use of force,2018/05/21 03:59:59+00,2018/05/21 03:59:59+00,IA2018-0374,Completed,Exonerated,Yes,Fleeing,Yes,No,Mentally unstable,Complainant,Male,White,>55,2018,Physical Force
129,129,Use of force,2018/05/22 03:59:59+00,2018/05/22 03:59:59+00,IA2018-0398,Completed,Exonerated,Yes,Combative,Yes,Yes,Mentally unstable,Complainant,Male,White,18-25,2018,Physical Force
130,130,Use of force,2018/05/22 03:59:59+00,2018/05/22 03:59:59+00,IA2018-0376,Completed,Exonerated,No,Self Harming Behavior,No,No,Mentally unstable,Complainant,Male,Black,0-17,2018,Taser
131,131,Use of force,2018/05/05 03:59:59+00,2018/05/05 03:59:59+00,IA2018-0403,Completed,Exonerated,Yes,Combative,Yes,No,None detected,Complainant,Male,Black,26-35,2018,Taser
132,132,Use of force,2018/05/29 03:59:59+00,2018/05/29 03:59:59+00,IA2018-0417,Completed,Exonerated,Yes,Fleeing,Yes,No,None detected,Complainant,Male,Black,18-25,2018,Taser
133,133,Use of force,2018/05/25 03:59:59+00,2018/05/25 03:59:59+00,IA2018-0433,Completed,Exonerated,Yes,Combative,Yes,Yes,Unknown Drugs,Complainant,Male,White,26-35,2018,Taser
134,134,Use of force,2018/05/25 03:59:59+00,2018/05/25 03:59:59+00,IA2018-0433,Completed,Exonerated,Yes,Combative,Yes,Yes,Unknown Drugs,Complainant,Male,White,26-35,2018,Physical Force
